Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend
HEROMOTOCO,EQ,2019-04-03,2569.95,2586.95,2594.0,2567.0,2580.3,2580.45,2582.36,1427316,3685838651.75,57665,1082919,75.87,0.4085682600828866,Slight or No change
HEROMOTOCO,EQ,2019-04-04,2580.45,2599.95,2648.7,2595.0,2630.0,2637.2,2623.98,2007440,5267489856.85,94022,785627,39.14,2.199228816679266,Positive
HEROMOTOCO,EQ,2019-04-05,2637.2,2652.0,2664.0,2605.1,2622.0,2618.4,2625.89,722753,1897866520.8,44445,264904,36.65,-0.7128772940997896,Slight negative
HEROMOTOCO,EQ,2019-04-08,2618.4,2628.0,2643.95,2581.0,2590.0,2586.85,2604.29,723035,1882989419.8,42623,286088,39.57,-1.2049343110296484,Negative
HEROMOTOCO,EQ,2019-04-09,2586.85,2590.0,2631.95,2568.8,2631.0,2623.65,2598.79,769508,1999788815.85,45187,312354,40.59,1.4225795852098155,Positive
HEROMOTOCO,EQ,2019-04-10,2623.65,2619.0,2619.0,2586.8,2591.95,2594.4,2598.14,672025,1746016020.7,50898,354299,52.72,-1.1148590703790484,Negative
HEROMOTOCO,EQ,2019-04-11,2594.4,2600.0,2612.0,2589.65,2600.0,2601.1,2602.58,608414,1583445309.4,29971,383068,62.96,0.25824853530680425,Slight or No change
HEROMOTOCO,EQ,2019-04-12,2601.1,2597.0,2644.8,2591.15,2635.0,2639.9,2624.78,925046,2428038029.4,44669,487272,52.68,1.491676598362246,Positive
HEROMOTOCO,EQ,2019-04-15,2639.9,2653.0,2710.9,2646.05,2702.95,2700.7,2690.92,958245,2578563772.9,58471,348158,36.33,2.3031175423311456,Positive
HEROMOTOCO,EQ,2019-04-16,2700.7,2723.75,2749.9,2715.0,2740.55,2739.65,2735.41,741047,2027068616.55,36378,383648,51.77,1.4422186840448825,Positive
HEROMOTOCO,EQ,2019-04-18,2739.65,2742.9,2759.9,2732.55,2742.4,2741.55,2746.08,563893,1548496557.1,42184,333054,59.06,0.06935192451591465,Slight or No change
HEROMOTOCO,EQ,2019-04-22,2741.55,2741.55,2749.95,2685.0,2690.0,2689.5,2714.39,453998,1232328010.95,32064,241064,53.1,-1.8985610329922964,Negative
HEROMOTOCO,EQ,2019-04-23,2689.5,2689.0,2727.35,2615.0,2640.0,2638.05,2692.22,395502,1064778643.4,25875,129576,32.76,-1.912994980479632,Negative
HEROMOTOCO,EQ,2019-04-24,2638.05,2650.0,2661.6,2582.15,2615.9,2611.9,2604.23,940782,2450010879.7,60397,503413,53.51,-0.991262485548039,Slight negative
HEROMOTOCO,EQ,2019-04-25,2611.9,2618.0,2638.0,2597.65,2610.85,2612.25,2616.74,690718,1807429592.1,46303,391265,56.65,0.013400206746050358,Slight or No change
HEROMOTOCO,EQ,2019-04-26,2612.25,2610.0,2616.75,2573.7,2593.45,2604.0,2599.62,727578,1891428226.4,35513,291850,40.11,-0.3158196956646542,Slight or No change
HEROMOTOCO,EQ,2019-04-30,2604.0,2573.0,2574.0,2477.0,2505.05,2511.85,2519.33,1634120,4116882220.2,111435,567158,34.71,-3.538786482334877,Among top losers
HEROMOTOCO,EQ,2019-05-02,2511.85,2510.0,2569.4,2492.5,2555.0,2551.7,2544.98,937946,2387050770.45,64587,472538,50.38,1.5864800843999438,Positive
HEROMOTOCO,EQ,2019-05-03,2551.7,2550.0,2587.0,2537.4,2563.2,2565.4,2567.53,674666,1732226113.0,32739,318523,47.21,0.5368969706470272,Slight positive
HEROMOTOCO,EQ,2019-05-06,2565.4,2540.0,2563.0,2525.1,2530.2,2531.3,2541.08,463670,1178224624.4,28592,258224,55.69,-1.3292274109300672,Negative
HEROMOTOCO,EQ,2019-05-07,2531.3,2567.9,2568.0,2521.5,2529.0,2527.35,2546.23,347427,884627610.85,29584,129747,37.35,-0.15604630032000077,Slight or No change
HEROMOTOCO,EQ,2019-05-08,2527.35,2525.8,2540.85,2481.6,2496.0,2499.7,2515.26,406025,1021259080.55,32136,176406,43.45,-1.0940312976042144,Negative
HEROMOTOCO,EQ,2019-05-09,2499.7,2499.0,2555.0,2490.6,2540.0,2537.75,2536.33,585480,1484972151.3,40511,203100,34.69,1.5221826619194356,Positive
HEROMOTOCO,EQ,2019-05-10,2537.75,2535.0,2560.0,2500.05,2506.05,2507.3,2529.09,332771,841608628.15,23272,118956,35.75,-1.1998817850457977,Negative
HEROMOTOCO,EQ,2019-05-13,2507.3,2507.3,2537.5,2500.0,2509.05,2510.75,2520.21,313902,791100264.85,23484,117837,37.54,0.13759821321739363,Slight or No change
